,label,input
130,achievement,acheivment
131,achievement,achievment
132,achievements,acheivements
133,achievements,acheivments
134,achievements,achievments
135,achieves,acheives
136,achieving,acheiving
137,acquaintance,acquaintence
138,acquaintance,acquiantence
139,acquaintance,aquaintance
140,acquaintance,aquiantance
141,acquaintances,acquaintences
142,acquaintances,acquiantences
143,acquainted,aquainted
144,acquire,adquire
145,acquire,aquire
146,acquired,adquired
147,acquired,aquired
148,acquires,adquires
149,acquiring,adquiring
150,acquiring,aquiring
151,acquisition,aquisition
152,acquitted,acquited
153,acquitted,aquitted
154,across,accross
155,actually,actualy
156,adaptation,adaption
157,adaptations,adaptions
158,adders,addres
159,additionally,additinally
160,address,addres
161,address,adres
162,address,adress
163,addressable,addresable
164,addressable,adresable
165,addressable,adressable
166,addressing,addresing
167,addressing,adresing
168,addressing,adressing
169,adequate,adecuate
170,adhering,adhearing
171,administrate,adminstrate
172,administration,adminstration
173,administrative,adminstrative
174,admissibility,admissability
175,admissible,admissable
176,admission,addmission
177,adolescent,adolecent
178,adopt,addopt
179,adopted,addopted
180,adoptive,addoptive
181,advertisement,advertisment
182,advertisements,advertisments
183,advice,adviced
184,advised,adviced
185,aerial,aeriel
186,aerials,aeriels
187,afford,affort
188,afford,efford
189,affords,effords
190,aficionado,afficionado
191,aficionados,afficionados
192,again,agian
193,again,agina
194,aggravate,agravate
195,aggregate,agregate
196,aggregates,agregates
197,aggression,agression
198,aggressive,agressive
199,aggressively,agressively
200,aggrieved,agrieved
201,agree,agre
202,agreed,agred
203,agreeing,agreing
204,agreement,aggreement
205,agriculturist,agriculturalist
206,airborne,airbourne
207,airports,airporta
208,alcohol,alchohol
209,alcoholic,alcoholical
210,algebraic,algebraical
211,algorithm,algoritm
212,algorithms,algoritms
213,allege,alege
214,allege,alledge
215,alleged,aleged
216,alleged,alledged
217,alleges,alledges
218,allegiance,alegience
219,allegiance,allegience
220,alleviate,alliviate
221,allophone,allopone
222,allophones,allopones
223,allot,alot
224,allotted,alotted
225,allusion,alusion
226,almost,almsot
227,almost,alomst
228,already,alreayd
229,also,alsot
230,also,aslo
231,although,altho
232,although,althought
233,although,altough
234,always,alwasy
235,always,alwyas
236,amateur,amature
237,amend,ammend
238,amendment,admendment
239,amendment,amendmant
240,amendment,ammendment
241,among,amoung
242,anal,anual
243,analogous,analagous
244,analogous,analogeous
245,analytic,analitic
246,and,anbd
247,androgynous,androgenous
248,androgyny,androgeny
249,angina,agina
250,annihilation,anihilation
251,announced,anounced
252,annual,anual
253,annulled,annuled
254,anoint,annoint
255,anointed,annointed
256,anointing,annointing
257,anoints,annoints
258,anomalies,anomolies
259,anomalous,anomolous
260,anomaly,anomoly
261,anonymity,anonimity
262,anything,anytying
263,anywhere,anyhwere
264,apart,appart
265,apartment,appartment
266,apartments,appartments
267,apologetics,apolegetics
268,apologies,appologies
269,apology,appology
270,appalling,appealling
271,apparent,aparent
272,apparent,apparant
273,appealing,appealling
274,appearance,appearence
275,appearances,appearences
276,application,aplication
277,appreciate,apprieciate
278,approaches,approachs
279,appropriate,appropiate
280,approximately,approximitely
281,approximately,aproximately
282,apron,apon
283,arbitrarily,arbitarily
284,arbitrary,arbitary
285,archaeologist,archeaologist
286,archaeologists,archeaologists
287,archaeology,archaoelogy
288,archaeology,archaology
289,archeologist,archeaologist
290,archeologists,archeaologists
291,archeology,archaoelogy
292,archeology,archaology
293,archetype,archtype
294,archetypes,archtypes
295,architect,archetect
296,architects,archetects
297,architectural,archetectural
298,architecturally,archetecturally
299,architecture,archetecture
300,archive,achive
301,archived,achived
302,armature,amature
303,arrangement,arangement
304,arrested,erested
305,article,artical
306,article,articel
307,artificial,artifical
308,artificially,artifically
309,artillery,artillary
310,ascension,accension
311,ascetic,asetic
312,aspects,spects
313,assassin,assasin
314,assassinate,assasinate
315,assassinated,assasinated
316,assassinates,assasinates
317,assassination,assasination
318,assassinations,assasinations
319,assassins,assasins
320,assemble,assemple
321,assistant,assitant
322,associated,asociated
323,asteroid,asteriod
324,asymmetric,assymetric
325,atheistic,atheistical
326,attainder,attaindre
327,attained,attaindre
328,attempt,attemt
329,attempted,attemted
330,attempting,attemting
331,attempts,attemts
332,attendance,attendence
333,attendant,attendent
334,attendants,attendents
335,attitude,attitide
336,attribute,atribute
337,attributes,atributes
338,audience,audeince
339,author,autor
340,autobiographic,authobiographic
341,autobiography,authobiography
342,auxiliary,auxilliary
343,available,avalable
344,available,avaliable
345,averaged,averageed
346,aviation,avation
347,away,awya
348,awkward,ackward
349,back,bakc
350,back,bcak
351,backward,ackward
352,bandwidth,bandwith
353,bankruptcy,bankrupcy
354,barbecue,barbeque
355,basically,basicaly
356,basically,basicly
357,beautiful,beatiful
358,beautiful,beautyfull
359,became,becamae
360,because,beacuse
361,because,becasue
362,because,becouse
363,because,becuase
364,becoming,becomming
365,before,befoer
366,begging,beggin
367,begin,beggin
368,beginner,begginer
369,beginners,begginers
370,beginning,beggining
371,beginning,begining
372,beginning,beginnig
373,beginnings,begginings
374,behavior,behavour
375,behaviour,behavour
376,belief,beleif
377,beliefs,belives
378,believe,beleive
379,believed,beleived
380,believes,beleives
381,believes,belives
382,believing,beleiving
383,beneficial,benificial
384,beneficiary,beneficary
385,benefit,benifit
386,benefits,benifits
387,besiege,beseige
388,besieged,beseiged
389,besieging,beseiging
390,bestiality,beastiality
391,between,vetween
392,bilaterally,bilateraly
393,binomial,binominal
394,blame,blaim
395,blamed,blaimed
396,blessing,blessure
397,boat,boaut
398,boundary,bondary
399,boundary,boundry
400,bout,baout
401,bout,boaut
402,breakthrough,breakthough
403,brilliant,briliant
404,broadly,broady
405,buffaloes,buffalos
406,buffalos,buffaloes
407,bureaucracy,beaurocracy
408,burin,buring
409,burning,buring
410,burying,buring
411,business,buisness
412,business,busineses
413,business,busness
414,businesses,busineses
415,caisson,casion
416,calculate,caluclate
417,calculate,caluculate
418,calculate,calulate
419,calculated,caluclated
420,calculated,caluculated
421,calculated,calulated
422,calendar,calender
423,calligraphy,caligraphy
424,campaign,campain
425,campaigns,campains
426,can't,cant
427,candidate,candadate
428,canister,cannister
429,canisters,cannisters
430,canonical,cannonical
431,cant,cant
432,capability,caperbility
433,carcass,carcas
434,caring,careing
435,carnivorous,carniverous
436,cartilage,cartilege
437,cartilage,cartilidge
438,cartographer,carthographer
439,cartridge,cartrige
440,cassette,casette
441,cassowary,cassawory
442,cassowary,cassowarry
443,casualties,casulaties
444,casualties,causalities
445,casualty,casulaty
446,categories,catagories
447,category,catagory
448,caterpillar,catterpilar
449,caterpillars,catterpilars
450,catholic,cathlic
451,cemeteries,cemetaries
452,cemetery,cemetarey
453,cemetery,cemetary
454,censor,censur
455,censure,censur
456,censure,sensure
457,census,cencus
458,centuries,centruies
459,century,centruy
460,ceremonial,cerimonial
461,ceremonies,cerimonies
462,ceremonious,cerimonious
463,ceremony,cerimony
464,certain,ceratin
465,certainty,certainity
466,cervical,cervial
467,chairman,chariman
468,character,carachter
469,character,charachter
470,characteristics,charistics
471,characterized,charaterized
472,characters,charachters
473,charismatic,carismatic
474,chase,chasr
475,chaser,chasr
476,cheat,sheat
477,chemical,chemcial
478,chemically,chemcially
479,chemically,chemicaly
480,chemistry,chemestry
481,chief,cheif
482,childbirth,childbird
483,children's,childrens
484,chosen,choosen
485,church,curch
486,circuit,ciricuit
487,civilian,civillian
488,claims,claimes
489,clear,claer
490,clear,clera
491,clearance,cleareance
492,clearer,claerer
493,clearly,claerly
494,clinical,clincial
495,clinically,clinicaly
496,cloud,coudl
497,coast,caost
498,collateral,colateral
499,colleague,collegue
500,colleagues,collegues
501,collectible,collectable
502,colonies,collonies
503,colonnade,collonade
504,colony,collony
505,coloration,colouration
506,colossal,collosal
507,colouration,coloration
508,comeback,comback
509,coming,comming
510,commandeer,comander
511,commander,comander
512,commando,comando
513,commandos,comandos
514,commandos,commandoes
515,commemorated,commmemorated
516,commemorative,commemerative
517,commercial,commericial
518,commercially,commericially
519,commission,comision
520,commission,comission
521,commission,commision
522,commissioned,comisioned
523,commissioned,comissioned
524,commissioned,commisioned
525,commissioner,comisioner
526,commissioner,comissioner
527,commissioner,commisioner
528,commissioning,comisioning
529,commissioning,comissioning
530,commissioning,commisioning
531,commissions,comisions
532,commissions,comissions
533,commissions,commisions
534,committed,comited
535,committed,comitted
536,committed,commited
537,committee,comittee
538,committee,commitee
539,committee,committe
540,committing,comiting
541,committing,comitting
542,committing,commiting
543,commonly,commongly
544,communication,communciation
545,comparative,comparitive
546,comparison,comparision
547,compatibility,compatiblity
548,competence,competance
549,competent,competant
550,competent,compitent
551,competition,competion
552,competitive,competive
553,compiler,complier
554,completion,competion
555,comprehensive,comphrehensive
556,compromise,comprimise
557,concentrate,consentrate
558,concentrated,consentrated
559,concentrates,consentrates
560,concept,consept
561,concern,consern
562,concerned,conserned
563,concerning,conserning
564,condemned,condemmed
565,condition,condidtion
566,conditions,condidtions
567,confidential,confidental
568,confidentially,confidentally
569,conform,coform
570,congressional,congresional
571,conjecture,conjecutre
572,connived,conived
573,connotation,cannotation
574,connotations,cannotations
575,conqueror,conquerer
576,conquerors,conquerers
577,conscious,concious
578,consciously,conciously
579,consciousness,conciousness
580,consensus,concensus
581,consent,conscent
582,conservative,conservitive
583,consider,concider
584,consider,consdider
585,considered,concidered
586,considered,consdidered
587,considered,considerd
588,considers,conciders
589,consolidate,consolodate
590,consolidated,consolodated
591,consonant,consonent
592,consonants,consonents
593,consortium,consorcium
594,constant,constatn
595,constantly,constanly
596,constituencies,consituencies
597,constituency,consituency
598,constituent,constituant
599,constituents,constituants
600,constitution,consitution
601,constitution,constituion
602,constitution,costitution
603,constitutional,consitutional
604,constitutional,constituional
605,constraints,constaints
606,construction,constuction
607,consummate,consumate
608,consummated,consumated
609,contains,containes
610,contains,countains
611,contaminate,contaiminate
612,contemporaneous,contemporaneus
613,contemporaries,contamporaries
614,contemporary,contamporary
615,contemporary,contemporaneus
616,continuing,continueing
617,continuous,continous
618,continuously,continously
619,contributor,contributer
620,contributors,contributers
621,control,controll
622,controlled,controled
623,controlling,controling
624,controls,controlls
625,controversial,contravercial
626,controversial,controvercial
627,controversies,controveries
628,controversy,contraversy
629,controversy,controvercy
630,controversy,controvery
631,convenient,conveinent
632,convenient,convienient
633,conventional,convential
634,conversion,convertion
635,converted,coverted
636,converter,convertor
637,converters,convertors
638,conveyor,conveyer
639,cooperation,coorperation
640,coordination,coordiantion
641,copy,cpoy
642,copyright,copywrite
643,corporate,corparate
644,corporation,coorperation
645,correspond,corrispond
646,corresponded,corrisponded
647,correspondent,correspondant
648,correspondent,corrispondant
649,correspondents,correspondants
650,correspondents,corrispondants
651,corresponding,correponding
652,corresponding,correposding
653,corresponding,corrisponding
654,corresponds,corrisponds
655,corrosion,corosion
656,could,coudl
657,could,sould
658,councillor,councellor
659,councillors,councellors
660,counsellor,councellor
661,counsellors,councellors
662,counselor,councellor
663,counselors,councellors
664,countries,ocuntries
665,country,ocuntry
666,courier,coururier
667,couturier,coururier
668,covenant,convenant
669,covered,coverted
670,coveted,coverted
671,coy,cpoy
672,created,creaeted
673,criterion,critereon
674,criticise,critisize
675,criticised,critisized
676,criticises,critisizes
677,criticising,critising
678,criticising,critisizing
679,criticism,critisism
680,criticisms,critisisms
681,criticize,critisize
682,criticized,critisized
683,criticizes,critisizes
684,criticizing,critising
685,criticizing,critisizing
686,critics,criticists
687,crucifixion,crucifiction
688,cruises,crusies
689,culminating,culiminating
690,cumulative,cumulatative
691,currently,currenly
692,cyan,cxan
693,dahl,dael
694,daub,doub
695,de_rigueur,de_rigeur
696,deal,dael
697,debatable,debateable
698,deceived,decieved
699,decidable,decideable
700,decide,deside
701,decidedly,decidely
702,deciduous,ecidious
703,decipher,decypher
704,deciphered,decyphered
705,decision,descision
706,decisions,descisions
707,decompose,decomposit
708,decomposed,decomposited
709,decomposes,decomposits
710,decomposing,decompositing
711,defiance,definance
712,define,deffine
713,defined,deffined
714,definite,definate
715,definite,definit
716,definitely,definately
717,definitely,definatly
718,definitely,definetly
719,definitely,definitly
720,deities,dieties
721,deity,diety
722,demeanor,damenor
723,demeanor,demenor
724,demeanour,damenor
725,demeanour,demenor
726,demographic,demographical
727,denigrating,denegrating
728,dependence,dependance
729,dependency,dependancy
730,dependent,dependant
731,derived,deriviated
732,derived,dirived
733,derogatory,derogitory
734,descendant,decendant
735,descendant,descendent
736,descendants,decendants
737,descendants,decendents
738,descendants,descendents
739,describe,decribe
740,describe,discribe
741,described,decribed
742,described,discribed
743,describes,decribes
744,describes,discribes
745,describing,decribing
746,describing,discribing
747,desiccated,dessicated
748,designed,desgined
749,designed,dessigned
750,desirable,desireable
751,despair,dispair
752,desperate,desparate
753,desperation,despiration
754,despicable,dispicable
755,despite,dispite
756,destroy,stroy
757,destructive,distructive
758,detached,detatched
759,detailed,detailled
760,determining,determinining
761,detrimental,detremental
762,develop,develope
763,developed,developped
764,development,devolopement
765,device,divice
766,dial,dael
767,didn't,didnt
768,die,diea
769,different,diferent
770,different,diferrent
771,different,diffrent
772,difficulties,dificulties
773,difficulty,dificulty
774,dimension,dimention
775,dimensions,dimenions
776,dimensions,dimentions
777,diphthong,diphtong
778,diphthong,dipthong
779,diphthongs,diphtongs
780,diphthongs,dipthongs
781,directly,driectly
782,disagreement,dissagreement
783,disappear,dissapear
784,disappear,dissappear
785,disappeared,dissapeared
786,disappearing,dissapearing
787,disappears,dissapears
788,disappears,dissappears
789,disapproval,disaproval
790,disaster,diaster
791,disastrous,disasterous
792,discontent,discontentment
793,discover,dicover
794,discovered,dicovered
795,discovering,dicovering
796,discovers,dicovers
797,discovery,dicovery
798,discuss,descuss
799,disintegrated,desintegrated
800,disintegration,desintegration
801,disobedience,disobediance
802,disobedience,dissobediance
803,disobedience,dissobedience
804,disobedient,disobediant
805,disobedient,dissobediant
806,disobedient,dissobedient
807,disparagingly,disparingly
808,disparate,desparate
809,dispense,dispence
810,dispensed,dispenced
811,dispensing,dispencing
812,dissatisfaction,disatisfaction
813,dissatisfied,disatisfied
814,dissemination,disemination
815,dissolved,disolved
816,distinguish,distingish
817,distinguished,distingished
818,distinguishes,distingishes
819,distinguishing,distingishing
820,diverged,diversed
821,diverse,diversed
822,divide,devide
823,divided,devided
824,division,divison
825,divisions,divisons
826,document,doccument
827,documented,doccumented
828,documents,doccuments
829,does,doens
830,doesn't,doesnt
831,doing,doign
832,doing,donig
833,dominant,dominent
834,dominant,dominiant
835,doubt,doub
836,dram,deram
837,dramatic,dramtic
838,dream,deram
839,dreams,dreasm
840,dressing,adressing
841,drink,drnik
842,drumming,druming
843,dukedom,dukeship
844,during,buring
845,during,durring
846,dyeing,dieing
847,dying,dieing
848,earned,earnt
849,eclectic,electic
850,eclipse,eclispe
851,efficient,effecient
852,efficient,efficent
853,efficiently,effeciently
854,efficiently,efficently
855,effluence,effulence
856,effort,affort
857,effort,efford
858,efforts,effords
859,eighth,eigth
860,election,electon
861,electric,electic
862,electrical,electrial
863,electrically,electricly
864,electricity,electricty
865,electron,electon
866,elementary,elimentary
867,elephant,elphant
868,elicited,elicided
869,eligible,eligable
870,eliminated,eleminated
871,eliminating,eleminating
872,else,esle
873,emanate,eminate
874,embarrass,embarass
875,embarrass,embarras
876,embarrassed,embarassed
877,embarrassed,embarrased
878,embarrassing,embarassing
879,embarrassing,embarrasing
880,embarrassment,embarassment
881,embarrassment,embarrasment
882,embezzled,embezelled
883,emigrant,imigrant
884,emigrated,emmigrated
885,emigrated,imigrated
886,emigration,imigration
887,eminent,emminent
888,eminent,imanent
889,eminent,iminent
890,eminently,emminently
891,emissaries,emmisaries
892,emissaries,emmisarries
893,emissary,emmisarry
894,emissary,emmisary
895,emission,emision
896,emission,emition
897,emission,emmision
898,emitted,emited
899,emitted,emmited
900,emitted,emmitted
901,emitting,emiting
902,emitting,emmiting
903,emitting,emmitting
904,emotion,emition
905,emphysema,emphysyma
906,empirical,emperical
907,empirical,empirial
908,enamored,enamoured
909,enamoured,enamored
910,encryption,encryptiion
911,engineer,engeneer
912,engineer,engieneer
913,engineering,engeneering
914,engineers,engieneers
915,enlargement,enlargment
916,enlargements,enlargments
917,enlist,Enlish
918,enmity,emnity
919,enormous,enourmous
920,enormously,enourmously
921,entertaining,intertaining
922,entrepreneur,entrepeneur
923,entrepreneurs,entrepeneurs
924,enumerable,inumerable
925,environment,enviorment
926,environment,enviornment
927,environment,enviroment
928,environmental,enviormental
929,environmental,enviornmental
930,environmental,enviromental
931,environmentalist,enviornmentalist
932,environmentalist,enviromentalist
933,environmentally,enviormentally
934,environmentally,enviornmentally
935,environmentally,enviromentally
936,environments,enviorments
937,environments,enviornments
938,environments,enviroments
939,equatorial,equitorial
940,equilibrium,equilibium
941,equilibrium,equilibrum
942,equipment,equippment
943,equipped,equiped
944,erected,erested
945,erratic,eratic
946,erratically,eraticly
947,essence,essense
948,essential,esential
949,essential,essencial
950,essential,essentual
951,essential,essesital
952,ethos,ethose
953,every,eveyr
954,evidently,evidentally
955,evil,efel
956,exacerbate,exerbate
957,exacerbated,exerbated
958,exaggerate,exagerate
959,exaggerate,exagerrate
960,exaggerated,exagerated
961,exaggerated,exagerrated
962,exaggerates,exagerates
963,exaggerates,exagerrates
964,exaggerating,exagerating
965,exaggerating,exagerrating
966,exalted,exhalted
967,example,exemple
968,example,exmaple
969,exceeded,excedded
970,excel,excell
971,excellent,exelent
972,excels,excells
973,excerpt,exerpt
974,excerpts,exerpts
975,execute,excecute
976,executed,excecuted
977,executes,excecutes
978,executing,excecuting
979,execution,excecution
980,exempt,exampt
981,exerted,extered
982,exhibition,exibition
983,exhibitions,exibitions
984,existence,existance
985,existent,existant
986,exoskeleton,exoskelaton
987,expects,spects
988,expel,expell
989,expels,expells
990,explain,expalin
991,exploitative,exploititive
992,extant,extint
993,external,exerternal
994,extinct,extint
995,extraordinarily,extrordinarily
996,extraordinary,extrordinary
997,extraterrestrial,extraterrestial
998,extravagant,extravagent
999,eyas,eyars
1000,facilitate,faciliate
1001,facilitated,faciliated
1002,famous,famoust
1003,fanaticism,fanatism
1004,fascinated,facinated
1005,feasible,feasable
1006,feel,fiel
1007,feels,fiels
1008,fictitious,ficticious
1009,fictitious,fictious
1010,field,fiel
1011,fields,fiels
1012,filament,filiament
1013,file,fiel
1014,files,fiels
1015,finally,fianlly
1016,finally,finaly
1017,financially,financialy
1018,find,fidn
1019,first,firts
1020,fled,fleed
1021,flirts,firts
1022,flourish,fluorish
1023,fluorescent,florescent
1024,forbade,forbad
1025,forehead,forhead
1026,foreign,foriegn
1027,foremost,formost
1028,forerunner,forunner
1029,forfeit,forfiet
1030,form,fomr
1031,formalize,formallize
1032,formalized,formallized
1033,forty,fourty
1034,fought,faught
1035,fought,fougth
1036,found,foudn
1037,foundries,foundaries
1038,foundry,foundary
1039,freed,fleed
1040,friend,freind
1041,friends,firends
1042,from,fomr
1043,fundamental,fundametal
1044,fundamentals,fundametals
1045,fungi,funguses
1046,further,furuther
1047,gale,gae
1048,game,gae
1049,gases,gasses
1050,genealogies,geneologies
1051,genealogy,geneology
1052,generally,generaly
1053,genitalia,genialia
1054,goddess,godess
1055,goddesses,godesses
1056,going,gogin
1057,going,goign
1058,going,gonig
1059,going,oging
1060,gourd,gaurd
1061,government,goverment
1062,government,govorment
1063,governmental,govermental
1064,governmental,govormental
1065,governor,gouvener
1066,governor,governer
1067,graffiti,grafitti
1068,grammar,grammer
1069,grammatically,gramatically
1070,grammatically,grammaticaly
1071,grateful,greatful
1072,gratefully,greatfully
1073,gratuitous,gratuitious
1074,great,gerat
1075,great,graet
1076,great,grat
1077,grief,greif
1078,group_sex,groupsex
1079,grow,grwo
1080,guanine,gunanine
1081,guarantee,guarentee
1082,guaranteed,garanteed
1083,guaranteed,guarenteed
1084,guaranteed,guranteed
1085,guarantees,guarentees
1086,guard,gaurd
1087,guerilla,guerrila
1088,guerillas,guerrilas
1089,guerrilla,guerrila
1090,guerrillas,guerrilas
1091,guidance,guidence
1092,guttural,guttaral
1093,guttural,gutteral
1094,habeas,habaeus
1095,habeas,habeus
1096,happen,ahppen
1097,happen,hapen
1098,happened,hapened
1099,happened,happended
1100,happening,hapening
1101,harass,harras
1102,harass,harrassing
1103,harassed,harased
1104,harassed,harrased
1105,harasses,harases
1106,harasses,harrases
1107,harassing,harrasing
1108,harassment,harasment
1109,harassment,harrasment
1110,hare,hace
1111,have,ahev
1112,have,ahve
1113,have,haev
1114,have,hvae
1115,have,hvea
1116,having,hvaing
1117,heave,haev
1118,heave,hvea
1119,heritage,inheritage
1120,heroes,heros
1121,heterogeneous,heterogenous
1122,holy,wholy
1123,hydrophilic,hydropilic
1124,hydrophobic,hydropobic
1125,hygiene,hygeine
1126,hypocrisy,hypocracy
1127,hypocrisy,hypocrasy
1128,hypocrisy,hypocricy
1129,hypocrite,hypocrit
1130,hypocrites,hypocrits
1131,iconoclastic,iconclastic
1132,idea,diea
1133,idea,idae
1134,ideas,idaes
1135,ideas,idesa
1136,identical,identicial
1137,ideologies,idealogies
1138,ideology,idealogy
1139,ides,idesa
1140,idiosyncratic,ideosyncratic
1141,illegitimacy,illegimacy
1142,illegitimate,illegitmate
1143,illogical,ilogical
1144,illusion,alusion
1145,illusion,illution
1146,imagery,imaginery
1147,imaginary,imagenary
1148,imaginary,imaginery
1149,imagine,imagin
1150,imbalance,inbalance
1151,imitate,immitate
1152,imitated,immitated
1153,imitating,immitating
1154,imitator,immitator
1155,immanent,iminent
1156,immediately,emmediately
1157,immediately,imediately
1158,immediately,immediatley
1159,immediately,immidately
1160,immediately,immidiately
1161,immense,imense
1162,immigrant,imigrant
1163,immigrant,inmigrant
1164,immigrants,inmigrants
1165,immigrated,imigrated
1166,immigration,imigration
1167,imminent,emminent
1168,imminent,imanent
1169,imminent,iminent
1170,impeach,inpeach
1171,impedance,impedence
1172,imperial,empirial
1173,impolite,inpolite
1174,imprisonment,inprisonment
1175,improvisation,improvision
1176,in_spite,inspite
1177,inaccessible,inaccessable
1178,inappropriate,inappropiate
1179,incompatibility,incompatiblity
1180,incompetence,incompetance
1181,incompetent,incompetant
1182,incorporation,incorperation
1183,incorruptible,incorruptable
1184,incredible,increadible
1185,incredible,incredable
1186,incunabula,incunabla
1187,indefinitely,indefinately
1188,indefinitely,indefinitly
1189,independence,independance
1190,independence,independece
1191,independent,independant
1192,independent,indipendent
1193,independent,indpendent
1194,independently,indepedantly
1195,independently,independantly
1196,independently,indipendently
1197,independently,indpendently
1198,indict,indite
1199,indispensable,indispensible
1200,indisputable,indisputible
1201,indisputably,indisputibly
1202,indulge,indulgue
1203,industrial,indutrial
1204,inevitable,inevatible
1205,inevitable,inevitible
1206,infectious,infectuous
1207,infiltrate,infilitrate
1208,infiltrated,infilitrated
1209,infinite,infinit
1210,inflammation,inflamation
1211,influenced,influented
1212,influential,influencial
1213,information,infomation
1214,ingredients,ingreediants
1215,inhabitant,habitant
1216,inhabitants,habitants
1217,inheritance,inheritage
1218,initiation,initation
1219,innocence,inocence
1220,innumerable,inumerable
1221,insidious,ecidious
1222,insistence,insistance
1223,instance,instatance
1224,instead,instade
1225,institution,insitution
1226,institutions,insitutions
1227,integrated,intergrated
1228,integration,intergration
1229,intellectual,intelectual
1230,intelligence,inteligence
1231,intelligent,inteligent
1232,interbred,interbread
1233,interbreed,interbread
1234,interchangeably,interchangably
1235,interest,intrest
1236,international,internation
1237,interpret,interpet
1238,interregnum,interrugum
1239,interrelated,interelated
1240,interrupt,interupt
1241,into,inot
1242,introduce,inctroduce
1243,introduced,inctroduced
1244,intuitive,intutive
1245,intuitively,intutively
1246,inventor,inventer
1247,invertebrates,invertibrates
1248,involvement,involvment
1249,ironically,ironicly
1250,irrelevant,irelevent
1251,irresistible,iresistable
1252,irresistible,iresistible
1253,irresistible,irresistable
1254,irresistibly,iresistably
1255,irresistibly,iresistibly
1256,irresistibly,irresistably
1257,irritable,iritable
1258,irritated,iritated
1259,isn't,isnt
1260,jeopardy,jeapardy
1261,journeys,journies
1262,judicial,judical
1263,judiciary,judisuary
1264,just,jstu
1265,just,jsut
1266,keratin,ceratin
1267,kindergarten,kindergarden
1268,know,knwo
1269,know,konw
1270,know,kwno
1271,know,nkow
1272,know,nkwo
1273,knowledge,knowlege
1274,knowledgeable,knowledgable
1275,knowledgeable,knowlegeable
1276,knows,knwos
1277,knows,konws
1278,laboratory,labratory
1279,laid,layed
1280,language,laguage
1281,languages,laguages
1282,larvae,lavae
1283,last,lsat
1284,lavatory,labatory
1285,leaf,lief
1286,lean,leanr
1287,leaner,leanr
1288,learn,leanr
1289,learn,leran
1290,learns,lerans
